iter	Passed	Remaining
550	3239	2639
551	3244	2633
552	3251	2628
553	3256	2621
554	3261	2615
555	3269	2610
556	3274	2604
557	3280	2598
558	3285	2591
559	3290	2585
560	3296	2579
561	3301	2573
562	3310	2569
563	3315	2563
564	3320	2556
565	3325	2550
566	3331	2544
567	3337	2538
568	3342	2531
569	3347	2525
570	3353	2519
571	3358	2513
572	3364	2507
573	3370	2501
574	3376	2495
575	3381	2488
576	3386	2482
577	3393	2477
578	3399	2471
579	3404	2465
580	3410	2459
581	3416	2453
582	3421	2446
583	3427	2441
584	3432	2435
585	3437	2428
586	3444	2423
587	3449	2417
588	3456	2412
589	3462	2406
590	3468	2400
591	3474	2394
592	3480	2388
593	3486	2382
594	3493	2378
595	3499	2372
596	3505	2366
597	3511	2360
598	3517	2354
599	3523	2348
600	3529	2343
601	3534	2336
602	3540	2331
603	3546	2325
604	3552	2319
605	3557	2313
606	3563	2307
607	3568	2301
608	3574	2294
609	3581	2289
610	3587	2283
611	3592	2277
612	3599	2272
613	3604	2266
614	3610	2260
615	3616	2254
616	3622	2248
617	3628	2243
618	3634	2236
619	3639	2230
620	3645	2224
621	3650	2218
622	3656	2212
623	3661	2206
624	3666	2200
625	3672	2193
626	3678	2188
627	3683	2182
628	3690	2176
629	3695	2170
630	3700	2164
631	3707	2158
632	3713	2153
633	3718	2146
634	3724	2141
635	3730	2134
636	3735	2128
637	3741	2123
638	3747	2116
639	3753	2111
640	3758	2105
641	3763	2098
642	3769	2092
643	3774	2086
644	3780	2080
645	3785	2074
646	3791	2068
647	3796	2062
648	3803	2056
649	3809	2051
650	3815	2045
651	3820	2039
652	3826	2033
653	3832	2027
654	3838	2021
655	3845	2016
656	3851	2010
657	3856	2004
658	3862	1998
659	3869	1993
660	3875	1987
661	3880	1981
662	3886	1975
663	3891	1969
664	3896	1963
665	3903	1957
666	3908	1951
667	3913	1945
668	3918	1938
669	3923	1932
670	3929	1926
671	3935	1920
672	3940	1914
673	3946	1908
674	3951	1902
675	3956	1896
676	3962	1890
677	3968	1884
678	3973	1878
679	3979	1872
680	3984	1866
681	3989	1860
682	3996	1854
683	4001	1848
684	4007	1842
685	4012	1836
686	4017	1830
687	4023	1824
688	4029	1818
689	4034	1812
690	4039	1806
691	4045	1800
692	4050	1794
693	4055	1788
694	4061	1782
695	4067	1776
696	4072	1770
697	4078	1764
698	4083	1758
699	4088	1752
700	4094	1746
701	4100	1740
702	4105	1734
703	4111	1728
704	4117	1722
705	4123	1717
706	4129	1711
707	4134	1705
708	4140	1699
709	4145	1693
710	4150	1687
711	4155	1681
712	4161	1675
713	4166	1669
714	4172	1663
715	4177	1657
716	4182	1650
717	4188	1644
718	4193	1639
719	4199	1632
720	4205	1627
721	4210	1621
722	4215	1615
723	4221	1609
724	4227	1603
725	4232	1597
726	4240	1592
727	4245	1586
728	4251	1580
729	4257	1574
730	4263	1568
731	4268	1562
732	4274	1557
733	4279	1551
734	4285	1545
735	4292	1539
736	4297	1533
737	4302	1527
738	4308	1521
739	4313	1515
740	4320	1510
741	4325	1504
742	4330	1497
743	4336	1492
744	4341	1486
745	4347	1480
746	4353	1474
747	4360	1468
748	4365	1463
749	4371	1457
750	4376	1451
751	4382	1445
752	4387	1439
753	4393	1433
754	4399	1427
755	4404	1421
756	4409	1415
757	4416	1409
758	4421	1403
759	4426	1397
760	4432	1392
761	4437	1386
762	4442	1379
763	4448	1374
764	4454	1368
765	4459	1362
766	4465	1356
767	4471	1350
768	4477	1344
769	4482	1339
770	4488	1333
771	4494	1327
772	4499	1321
773	4504	1315
774	4510	1309
775	4515	1303
776	4520	1297
777	4526	1291
778	4531	1285
779	4536	1279
780	4542	1273
781	4548	1267
782	4553	1261
783	4559	1256
784	4564	1250
785	4569	1244
786	4575	1238
787	4581	1232
788	4587	1226
789	4592	1220
790	4598	1214
791	4603	1208
792	4609	1203
793	4614	1197
794	4619	1191
795	4625	1185
796	4631	1179
797	4636	1173
798	4642	1167
799	4648	1162
800	4654	1156
801	4660	1150
802	4665	1144
803	4671	1138
804	4677	1133
805	4682	1127
806	4688	1121
807	4693	1115
808	4699	1109
809	4704	1103
810	4710	1097
811	4716	1091
812	4721	1086
813	4727	1080
814	4732	1074
815	4738	1068
816	4744	1062
817	4750	1056
818	4756	1051
819	4762	1045
820	4769	1039
821	4776	1034
822	4781	1028
823	4788	1022
824	4794	1016
825	4800	1011
826	4807	1005
827	4813	999
828	4819	994
829	4826	988
830	4832	982
831	4839	977
832	4845	971
833	4852	965
834	4858	960
835	4865	954
836	4883	951
837	4888	945
838	4893	939
839	4899	933
840	4904	927
841	4910	921
842	4916	915
843	4921	909
844	4926	903
845	4933	898
846	4939	892
847	4945	886
848	4951	880
849	4956	874
850	4963	868
851	4968	863
852	4974	857
853	4980	851
854	4986	845
855	4991	839
856	4997	833
857	5003	828
858	5009	822
859	5015	816
860	5020	810
861	5026	804
862	5032	798
863	5038	793
864	5044	787
865	5050	781
866	5055	775
867	5062	769
868	5068	764
869	5074	758
870	5079	752
871	5084	746
872	5090	740
873	5096	734
874	5102	728
875	5108	723
876	5114	717
877	5119	711
878	5126	705
879	5132	699
880	5138	694
881	5144	688
882	5149	682
883	5156	676
884	5162	670
885	5167	664
886	5173	659
887	5179	653
888	5184	647
889	5190	641
890	5196	635
891	5202	629
892	5208	624
893	5214	618
894	5220	612
895	5226	606
896	5233	600
897	5239	595
898	5244	589
899	5251	583
900	5257	577
901	5263	571
902	5269	566
903	5275	560
904	5280	554
905	5287	548
906	5293	542
907	5299	536
908	5305	531
909	5310	525
910	5317	519
911	5322	513
912	5328	507
913	5335	502
914	5341	496
915	5346	490
916	5353	484
917	5358	478
918	5365	472
919	5370	466
920	5375	461
921	5381	455
922	5387	449
923	5392	443
924	5399	437
925	5404	431
926	5410	426
927	5416	420
928	5421	414
929	5427	408
930	5432	402
931	5438	396
932	5443	390
933	5449	385
934	5454	379
935	5460	373
936	5465	367
937	5470	361
938	5476	355
939	5482	349
940	5487	344
941	5493	338
942	5498	332
943	5503	326
944	5509	320
945	5515	314
946	5520	308
947	5526	303
948	5532	297
949	5537	291
950	5543	285
951	5549	279
952	5555	273
953	5561	268
954	5566	262
955	5571	256
956	5577	250
957	5582	244
958	5587	238
959	5593	233
960	5598	227
961	5604	221
962	5610	215
963	5616	209
964	5622	203
965	5628	198
966	5633	192
967	5639	186
968	5645	180
969	5651	174
970	5657	168
971	5663	163
972	5668	157
973	5674	151
974	5679	145
975	5685	139
976	5690	133
977	5696	128
978	5701	122
979	5707	116
980	5712	110
981	5718	104
982	5724	98
983	5729	93
984	5735	87
985	5742	81
986	5747	75
987	5754	69
988	5759	64
989	5765	58
990	5772	52
991	5778	46
992	5785	40
993	5791	34
994	5796	29
995	5803	23
996	5809	17
997	5815	11
998	5821	5
999	5826	0
